! Initial radius: 1.0000E+00 AU
! Number of timesteps:     499
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -8.511528379E+05   1.000000000E+00   0.000000000E+00   4.230219952E+03   1.404873019E+01   1.404873019E+01   3.419049017E+00   6.844340772E+00
  -8.491871270E+05   1.000000000E+00   0.000000000E+00   4.251972404E+03   1.403690195E+01   1.403690195E+01   3.425756319E+00   6.857789609E+00
  -8.472214160E+05   1.000000000E+00   0.000000000E+00   4.273836711E+03   1.402507314E+01   1.402507314E+01   3.432476780E+00   6.871264873E+00
  -8.452557051E+05   1.000000000E+00   0.000000000E+00   4.295813448E+03   1.401324390E+01   1.401324390E+01   3.439210425E+00   6.884766616E+00
  -8.432899942E+05   1.000000000E+00   0.000000000E+00   4.317903192E+03   1.400141434E+01   1.400141434E+01   3.445957279E+00   6.898294888E+00
  -8.413242832E+05   1.000000000E+00   0.000000000E+00   4.340106526E+03   1.398958459E+01   1.398958459E+01   3.452717369E+00   6.911849743E+00
  -8.393585723E+05   1.000000000E+00   0.000000000E+00   4.362424032E+03   1.397775476E+01   1.397775476E+01   3.459490720E+00   6.925431233E+00
  -8.373928613E+05   1.000000000E+00   0.000000000E+00   4.384856298E+03   1.396592498E+01   1.396592498E+01   3.466277359E+00   6.939039410E+00
  -8.354271504E+05   1.000000000E+00   0.000000000E+00   4.407403915E+03   1.395409537E+01   1.395409537E+01   3.473077312E+00   6.952674327E+00
  -8.334614394E+05   1.000000000E+00   0.000000000E+00   4.430067475E+03   1.394226606E+01   1.394226606E+01   3.479890605E+00   6.966336035E+00
  -8.314957285E+05   1.000000000E+00   0.000000000E+00   4.452847575E+03   1.393043718E+01   1.393043718E+01   3.486717263E+00   6.980024588E+00
  -8.295300176E+05   1.000000000E+00   0.000000000E+00   4.475744813E+03   1.391860885E+01   1.391860885E+01   3.493557314E+00   6.993740039E+00
  -8.275643066E+05   1.000000000E+00   0.000000000E+00   4.498759793E+03   1.390678119E+01   1.390678119E+01   3.500410783E+00   7.007482439E+00
  -8.255985957E+05   1.000000000E+00   0.000000000E+00   4.521893119E+03   1.389495434E+01   1.389495434E+01   3.507277696E+00   7.021251843E+00
  -8.236328847E+05   1.000000000E+00   0.000000000E+00   4.545145400E+03   1.388312843E+01   1.388312843E+01   3.514158081E+00   7.035048304E+00
  -8.216671738E+05   1.000000000E+00   0.000000000E+00   4.568517249E+03   1.387130359E+01   1.387130359E+01   3.521051964E+00   7.048871874E+00
  -8.197014628E+05   1.000000000E+00   0.000000000E+00   4.592009279E+03   1.385947995E+01   1.385947995E+01   3.527959370E+00   7.062722606E+00
  -8.177357519E+05   1.000000000E+00   0.000000000E+00   4.615622108E+03   1.384765763E+01   1.384765763E+01   3.534880327E+00   7.076600555E+00
  -8.157700410E+05   1.000000000E+00   0.000000000E+00   4.639356359E+03   1.383583679E+01   1.383583679E+01   3.541814862E+00   7.090505773E+00
  -8.138043300E+05   1.000000000E+00   0.000000000E+00   4.663212655E+03   1.382401754E+01   1.382401754E+01   3.548763000E+00   7.104438314E+00
  -8.118386191E+05   1.000000000E+00   0.000000000E+00   4.687191623E+03   1.381220002E+01   1.381220002E+01   3.555724768E+00   7.118398232E+00
  -8.098729081E+05   1.000000000E+00   0.000000000E+00   4.711293896E+03   1.380038438E+01   1.380038438E+01   3.562700194E+00   7.132385581E+00
  -8.079071972E+05   1.000000000E+00   0.000000000E+00   4.735520105E+03   1.378857075E+01   1.378857075E+01   3.569689304E+00   7.146400415E+00
  -8.059414863E+05   1.000000000E+00   0.000000000E+00   4.759870890E+03   1.377675927E+01   1.377675927E+01   3.576692124E+00   7.160442786E+00
  -8.039757753E+05   1.000000000E+00   0.000000000E+00   4.784346891E+03   1.376495007E+01   1.376495007E+01   3.583708683E+00   7.174512751E+00
  -8.020100644E+05   1.000000000E+00   0.000000000E+00   4.808948750E+03   1.375314330E+01   1.375314330E+01   3.590739006E+00   7.188610362E+00
  -8.000443534E+05   1.000000000E+00   0.000000000E+00   4.833677117E+03   1.374133909E+01   1.374133909E+01   3.597783120E+00   7.202735675E+00
  -7.980786425E+05   1.000000000E+00   0.000000000E+00   4.858532640E+03   1.372953760E+01   1.372953760E+01   3.604841054E+00   7.216888743E+00
