Nsteps =      412
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  2.2368421E+05  1.0000000E+04  3.7525140E+01  1.3705676E+01  2.6250000E+00
0.0000000E+00  2.2631579E+05  1.0000000E+04  3.6472558E+01  1.3623367E+01  2.6500000E+00
0.0000000E+00  2.2894737E+05  1.0000000E+04  3.5724684E+01  1.3564972E+01  2.6750000E+00
0.0000000E+00  2.3157895E+05  1.0000000E+04  3.5003917E+01  1.3509288E+01  2.7000000E+00
0.0000000E+00  2.3421053E+05  1.0000000E+04  3.4301041E+01  1.3456187E+01  2.7250000E+00
0.0000000E+00  2.3684211E+05  1.0000000E+04  3.3622648E+01  1.3405547E+01  2.7500000E+00
0.0000000E+00  2.3947368E+05  1.0000000E+04  3.2718300E+01  1.3341020E+01  2.7750000E+00
0.0000000E+00  2.4210526E+05  1.0000000E+04  3.1816403E+01  1.3280467E+01  2.8000000E+00
0.0000000E+00  2.4473684E+05  1.0000000E+04  3.0898205E+01  1.3223628E+01  2.8250000E+00
0.0000000E+00  2.4736842E+05  1.0000000E+04  2.9944190E+01  1.3170257E+01  2.8500000E+00
0.0000000E+00  2.5000000E+05  1.0000000E+04  2.8934051E+01  1.3120125E+01  2.8750000E+00
0.0000000E+00  2.5263158E+05  1.0000000E+04  2.7846895E+01  1.3073014E+01  2.9000000E+00
0.0000000E+00  2.5526316E+05  1.0000000E+04  2.6660078E+01  1.3028722E+01  2.9250000E+00
0.0000000E+00  2.5789474E+05  1.0000000E+04  2.5365789E+01  1.2987059E+01  2.9500000E+00
0.0000000E+00  2.6052632E+05  1.0000000E+04  2.3966735E+01  1.2947846E+01  2.9750000E+00
0.0000000E+00  2.6315789E+05  1.0000000E+04  2.2490669E+01  1.2910917E+01  3.0000000E+00
0.0000000E+00  2.6586063E+05  1.0000000E+04  2.0998833E+01  1.2876117E+01  3.0256760E+00
