Nsteps =      439
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  1.7905607E+05  1.0000000E+04  6.0435049E+01  1.5187820E+01  1.8726551E+00
0.0000000E+00  1.8162870E+05  1.0000000E+04  5.9619306E+01  1.5143614E+01  1.8981241E+00
0.0000000E+00  1.8420132E+05  1.0000000E+04  5.8823261E+01  1.5100081E+01  1.9235931E+00
0.0000000E+00  1.8677394E+05  1.0000000E+04  5.8046573E+01  1.5057212E+01  1.9490620E+00
0.0000000E+00  1.8934657E+05  1.0000000E+04  5.7102801E+01  1.5004544E+01  1.9745310E+00
0.0000000E+00  1.9191919E+05  1.0000000E+04  5.6413301E+01  1.4965703E+01  2.0000000E+00
0.0000000E+00  1.9444444E+05  1.0000000E+04  5.5740253E+01  1.4927418E+01  2.0250000E+00
0.0000000E+00  1.9696970E+05  1.0000000E+04  5.5082919E+01  1.4889683E+01  2.0500000E+00
0.0000000E+00  1.9949495E+05  1.0000000E+04  5.4440967E+01  1.4852490E+01  2.0750000E+00
0.0000000E+00  2.0202020E+05  1.0000000E+04  5.3814080E+01  1.4815831E+01  2.1000000E+00
0.0000000E+00  2.0454545E+05  1.0000000E+04  5.3201930E+01  1.4779700E+01  2.1250000E+00
0.0000000E+00  2.0707071E+05  1.0000000E+04  5.2604187E+01  1.4744090E+01  2.1500000E+00
0.0000000E+00  2.0959596E+05  1.0000000E+04  5.2020514E+01  1.4708992E+01  2.1750000E+00
0.0000000E+00  2.1212121E+05  1.0000000E+04  5.1171028E+01  1.4657294E+01  2.2000000E+00
0.0000000E+00  2.1464646E+05  1.0000000E+04  5.0350878E+01  1.4606712E+01  2.2250000E+00
0.0000000E+00  2.1717172E+05  1.0000000E+04  4.9754339E+01  1.4569495E+01  2.2500000E+00
0.0000000E+00  2.1969697E+05  1.0000000E+04  4.9173775E+01  1.4532885E+01  2.2750000E+00
0.0000000E+00  2.2222222E+05  1.0000000E+04  4.8608413E+01  1.4496871E+01  2.3000000E+00
0.0000000E+00  2.2474747E+05  1.0000000E+04  4.8057815E+01  1.4461446E+01  2.3250000E+00
0.0000000E+00  2.2727273E+05  1.0000000E+04  4.6999883E+01  1.4392323E+01  2.3500000E+00
0.0000000E+00  2.2979798E+05  1.0000000E+04  4.5995697E+01  1.4325447E+01  2.3750000E+00
0.0000000E+00  2.3232323E+05  1.0000000E+04  4.5096104E+01  1.4264408E+01  2.4000000E+00
0.0000000E+00  2.3484848E+05  1.0000000E+04  4.4449157E+01  1.4219865E+01  2.4250000E+00
0.0000000E+00  2.3737374E+05  1.0000000E+04  4.3826043E+01  1.4176356E+01  2.4500000E+00
0.0000000E+00  2.3989899E+05  1.0000000E+04  4.3225145E+01  1.4133859E+01  2.4750000E+00
0.0000000E+00  2.4242424E+05  1.0000000E+04  4.2645476E+01  1.4092352E+01  2.5000000E+00
0.0000000E+00  2.4494949E+05  1.0000000E+04  4.1904209E+01  1.4038510E+01  2.5250000E+00
0.0000000E+00  2.4747475E+05  1.0000000E+04  4.0853815E+01  1.3960862E+01  2.5500000E+00
0.0000000E+00  2.5000000E+05  1.0000000E+04  3.9871268E+01  1.3886805E+01  2.5750000E+00
0.0000000E+00  2.5252525E+05  1.0000000E+04  3.8652823E+01  1.3793373E+01  2.6000000E+00
0.0000000E+00  2.5505051E+05  1.0000000E+04  3.7525140E+01  1.3705676E+01  2.6250000E+00
0.0000000E+00  2.5757576E+05  1.0000000E+04  3.6472558E+01  1.3623367E+01  2.6500000E+00
0.0000000E+00  2.6010101E+05  1.0000000E+04  3.5724684E+01  1.3564972E+01  2.6750000E+00
0.0000000E+00  2.6262626E+05  1.0000000E+04  3.5003917E+01  1.3509288E+01  2.7000000E+00
0.0000000E+00  2.6515152E+05  1.0000000E+04  3.4301041E+01  1.3456187E+01  2.7250000E+00
0.0000000E+00  2.6767677E+05  1.0000000E+04  3.3622648E+01  1.3405547E+01  2.7500000E+00
0.0000000E+00  2.7020202E+05  1.0000000E+04  3.2718300E+01  1.3341020E+01  2.7750000E+00
0.0000000E+00  2.7272727E+05  1.0000000E+04  3.1816403E+01  1.3280467E+01  2.8000000E+00
0.0000000E+00  2.7525253E+05  1.0000000E+04  3.0898205E+01  1.3223628E+01  2.8250000E+00
0.0000000E+00  2.7777778E+05  1.0000000E+04  2.9944190E+01  1.3170257E+01  2.8500000E+00
0.0000000E+00  2.8030303E+05  1.0000000E+04  2.8934051E+01  1.3120125E+01  2.8750000E+00
0.0000000E+00  2.8282828E+05  1.0000000E+04  2.7846895E+01  1.3073014E+01  2.9000000E+00
0.0000000E+00  2.8535354E+05  1.0000000E+04  2.6660078E+01  1.3028722E+01  2.9250000E+00
0.0000000E+00  2.8787879E+05  1.0000000E+04  2.5365789E+01  1.2987059E+01  2.9500000E+00
0.0000000E+00  2.9040404E+05  1.0000000E+04  2.3966735E+01  1.2947846E+01  2.9750000E+00
0.0000000E+00  2.9292929E+05  1.0000000E+04  2.2490669E+01  1.2910917E+01  3.0000000E+00
0.0000000E+00  2.9552283E+05  1.0000000E+04  2.0998833E+01  1.2876117E+01  3.0256760E+00
0.0000000E+00  2.9811636E+05  1.0000000E+04  1.9562865E+01  1.2843300E+01  3.0513520E+00
0.0000000E+00  3.0070989E+05  1.0000000E+04  1.8241869E+01  1.2812331E+01  3.0770279E+00
0.0000000E+00  3.0330343E+05  1.0000000E+04  1.7074517E+01  1.2783085E+01  3.1027039E+00
0.0000000E+00  3.0589696E+05  1.0000000E+04  1.6144634E+01  1.2757621E+01  3.1283799E+00
