! Nsteps =   422   
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.000E+00  2.449E+05  1.000E+04  4.190E+01  1.404E+01  2.525E+00
0.000E+00  2.475E+05  1.000E+04  4.085E+01  1.396E+01  2.550E+00
0.000E+00  2.500E+05  1.000E+04  3.987E+01  1.389E+01  2.575E+00
0.000E+00  2.525E+05  1.000E+04  3.865E+01  1.379E+01  2.600E+00
0.000E+00  2.551E+05  1.000E+04  3.753E+01  1.371E+01  2.625E+00
0.000E+00  2.576E+05  1.000E+04  3.647E+01  1.362E+01  2.650E+00
0.000E+00  2.601E+05  1.000E+04  3.572E+01  1.356E+01  2.675E+00
0.000E+00  2.626E+05  1.000E+04  3.500E+01  1.351E+01  2.700E+00
0.000E+00  2.652E+05  1.000E+04  3.430E+01  1.346E+01  2.725E+00
0.000E+00  2.677E+05  1.000E+04  3.362E+01  1.341E+01  2.750E+00
0.000E+00  2.702E+05  1.000E+04  3.272E+01  1.334E+01  2.775E+00
0.000E+00  2.727E+05  1.000E+04  3.182E+01  1.328E+01  2.800E+00
0.000E+00  2.753E+05  1.000E+04  3.090E+01  1.322E+01  2.825E+00
0.000E+00  2.778E+05  1.000E+04  2.994E+01  1.317E+01  2.850E+00
0.000E+00  2.803E+05  1.000E+04  2.893E+01  1.312E+01  2.875E+00
0.000E+00  2.828E+05  1.000E+04  2.785E+01  1.307E+01  2.900E+00
0.000E+00  2.854E+05  1.000E+04  2.666E+01  1.303E+01  2.925E+00
0.000E+00  2.879E+05  1.000E+04  2.537E+01  1.299E+01  2.950E+00
0.000E+00  2.904E+05  1.000E+04  2.397E+01  1.295E+01  2.975E+00
0.000E+00  2.929E+05  1.000E+04  2.249E+01  1.291E+01  3.000E+00
0.000E+00  2.955E+05  1.000E+04  2.100E+01  1.288E+01  3.026E+00
0.000E+00  2.981E+05  1.000E+04  1.956E+01  1.284E+01  3.051E+00
0.000E+00  3.007E+05  1.000E+04  1.824E+01  1.281E+01  3.077E+00
0.000E+00  3.033E+05  1.000E+04  1.707E+01  1.278E+01  3.103E+00
0.000E+00  3.059E+05  1.000E+04  1.614E+01  1.276E+01  3.128E+00
0.000E+00  3.085E+05  1.000E+04  1.534E+01  1.273E+01  3.154E+00
0.000E+00  3.111E+05  1.000E+04  1.466E+01  1.271E+01  3.180E+00
0.000E+00  3.137E+05  1.000E+04  1.408E+01  1.269E+01  3.205E+00
0.000E+00  3.163E+05  1.000E+04  1.358E+01  1.267E+01  3.231E+00
0.000E+00  3.189E+05  1.000E+04  1.315E+01  1.265E+01  3.257E+00
0.000E+00  3.215E+05  1.000E+04  1.278E+01  1.263E+01  3.282E+00
0.000E+00  3.241E+05  1.000E+04  1.247E+01  1.261E+01  3.308E+00
0.000E+00  3.266E+05  1.000E+04  1.219E+01  1.259E+01  3.334E+00
0.000E+00  3.292E+05  1.000E+04  1.196E+01  1.258E+01  3.359E+00
0.000E+00  3.318E+05  1.000E+04  1.176E+01  1.256E+01  3.385E+00
0.000E+00  3.344E+05  1.000E+04  1.159E+01  1.255E+01  3.411E+00
0.000E+00  3.370E+05  1.000E+04  1.145E+01  1.253E+01  3.436E+00
0.000E+00  3.396E+05  1.000E+04  1.132E+01  1.252E+01  3.462E+00
0.000E+00  3.422E+05  1.000E+04  1.121E+01  1.250E+01  3.488E+00
0.000E+00  3.448E+05  1.000E+04  1.111E+01  1.249E+01  3.514E+00
0.000E+00  3.474E+05  1.000E+04  1.104E+01  1.248E+01  3.539E+00
0.000E+00  3.500E+05  1.000E+04  1.097E+01  1.247E+01  3.565E+00
0.000E+00  3.526E+05  1.000E+04  1.094E+01  1.246E+01  3.591E+00
0.000E+00  3.552E+05  1.000E+04  1.091E+01  1.246E+01  3.616E+00
0.000E+00  3.578E+05  1.000E+04  1.089E+01  1.245E+01  3.642E+00
0.000E+00  3.604E+05  1.000E+04  1.087E+01  1.245E+01  3.668E+00
0.000E+00  3.630E+05  1.000E+04  1.085E+01  1.245E+01  3.693E+00
0.000E+00  3.655E+05  1.000E+04  1.083E+01  1.244E+01  3.719E+00
0.000E+00  3.681E+05  1.000E+04  1.081E+01  1.244E+01  3.745E+00
0.000E+00  3.707E+05  1.000E+04  1.079E+01  1.243E+01  3.770E+00
0.000E+00  3.733E+05  1.000E+04  1.076E+01  1.243E+01  3.796E+00
0.000E+00  3.759E+05  1.000E+04  1.074E+01  1.242E+01  3.822E+00
0.000E+00  3.785E+05  1.000E+04  1.070E+01  1.242E+01  3.847E+00
0.000E+00  3.811E+05  1.000E+04  1.066E+01  1.242E+01  3.873E+00
0.000E+00  3.836E+05  1.000E+04  1.060E+01  1.241E+01  3.898E+00
0.000E+00  3.862E+05  1.000E+04  1.056E+01  1.240E+01  3.923E+00
0.000E+00  3.887E+05  1.000E+04  1.052E+01  1.240E+01  3.948E+00
0.000E+00  3.912E+05  1.000E+04  1.047E+01  1.239E+01  3.973E+00
0.000E+00  3.938E+05  1.000E+04  1.042E+01  1.239E+01  3.998E+00
0.000E+00  3.963E+05  1.000E+04  1.038E+01  1.238E+01  4.023E+00
0.000E+00  3.988E+05  1.000E+04  1.032E+01  1.238E+01  4.048E+00
0.000E+00  4.013E+05  1.000E+04  1.026E+01  1.237E+01  4.073E+00
0.000E+00  4.039E+05  1.000E+04  1.018E+01  1.236E+01  4.098E+00
0.000E+00  4.064E+05  1.000E+04  1.010E+01  1.235E+01  4.123E+00
0.000E+00  4.089E+05  1.000E+04  1.002E+01  1.235E+01  4.148E+00
